City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,saint-philippe,-21.3585,55.7679,24.89,89,100,7.48,RE,1746631075
84,sittwe,20.15,92.9,29.29,71,41,3.8,MM,1746631076
85,taltal,-25.4,-70.4833,18.54,70,100,2.1,CL,1746631077
86,georgetown,5.4112,100.3354,29.97,75,20,2.68,MY,1746630822
87,gadzhiyevo,69.2551,33.3362,1.36,100,99,7.66,RU,1746631081
88,papatowai,-46.5619,169.4708,13.72,79,100,2.75,NZ,1746631082
89,sao felix do xingu,-6.6447,-51.995,31.21,53,8,2.08,BR,1746631083
90,urangan,-25.3,152.9,19.44,77,33,5.03,AU,1746631084
91,wuwei,37.9281,102.6414,13.86,46,87,6.1,CN,1746631086
92,kimbe,-5.5502,150.1429,25.12,93,100,0.83,PG,1746631087
93,longyearbyen,78.2186,15.6401,-1.09,64,0,1.54,SJ,1746631088
94,klyuchi,52.2667,79.1667,18.74,53,100,3.32,RU,1746631089
95,sur,22.5667,59.5289,30.48,67,0,3.15,OM,1746631090
96,coelho neto,-4.2567,-43.0128,33.52,41,87,2.51,BR,1746631091
97,thames,-37.1333,175.5333,11.98,92,10,1.63,NZ,1746631092
98,bechar,31.6167,-2.2167,33.18,9,40,7.2,DZ,1746631093
99,borovskoy,53.8,64.15,16.13,65,100,6.45,KZ,1746631094
100,kasane,-17.8167,25.15,27.05,26,0,4.12,BW,1746631095
101,kenai,60.5544,-151.2583,1.03,86,0,2.06,US,1746631096
102,danjiangkou,32.5428,111.5086,25.02,42,100,6.61,CN,1746631097
103,la passe,45.5549,-0.8967,17.19,62,100,3.63,FR,1746631098
104,port hedland,-20.3167,118.5667,22.03,56,12,3.6,AU,1746631099
105,canacona,14.9959,74.0506,29.08,71,30,5.27,IN,1746631101
106,collie,-33.3667,116.15,13.91,72,0,1.84,AU,1746631102
107,bisenda buzurg,25.4167,80.6167,36.69,17,100,4.21,IN,1746631103
108,cururupu,-1.8283,-44.8683,31.91,51,34,2.98,BR,1746631104
109,newman,37.3138,-121.0208,15.02,78,0,0.45,US,1746631105
110,inirida,3.8653,-67.9239,22.23,93,100,0.45,CO,1746631106
111,meadow lake,34.8014,-106.5436,11.03,71,85,0.55,US,1746631107
112,tindouf,27.6711,-8.1474,33.25,16,77,8.23,DZ,1746631108
113,tura,25.5198,90.2201,25.12,61,63,1.56,IN,1746631109
114,bonthe,7.5264,-12.505,30.12,67,53,4.93,SL,1746631110
115,east london,-33.0153,27.9116,20.52,88,100,2.57,ZA,1746631111
116,nuuk,64.1835,-51.7216,-3.66,93,100,6.17,GL,1746631099
117,timbuktu,16.7735,-3.0074,42.3,15,2,2.25,ML,1746631114
118,ta`u,-14.2336,-169.5144,27.88,79,87,12.28,AS,1746631115
119,lebu,-37.6167,-73.65,12.97,80,100,1.73,CL,1746631116
120,hawaiian paradise park,19.5933,-154.9731,19.94,83,40,2.57,US,1746631117
121,nikolayevsk-on-amure,53.1406,140.73,1.83,88,8,1.3,RU,1746631118
122,hotan,37.0997,79.9269,26.98,11,0,4.17,CN,1746631119
123,anadyr,64.75,177.4833,-5.72,86,40,2.0,RU,1746631120
124,menongue,-14.6585,17.691,23.15,44,1,3.4,AO,1746631121
125,saudarkrokur,65.7461,-19.6394,8.27,86,100,1.99,IS,1746631122
126,bredasdorp,-34.5322,20.0403,18.05,68,52,3.2,ZA,1746631123
127,natal,-5.795,-35.2094,32.12,55,75,7.2,BR,1746631118
128,ballina,-28.8667,153.5667,16.46,91,92,3.08,AU,1746630957
129,carnarvon,-24.8667,113.6333,26.87,30,0,4.27,AU,1746631127
130,port mathurin,-19.6833,63.4167,27.03,78,14,8.32,MU,1746631128
131,surab,28.4914,66.2585,25.0,22,17,3.53,PK,1746631129
132,happy valley-goose bay,53.3168,-60.3315,7.17,81,100,10.29,CA,1746630910
133,chibuto,-24.6867,33.5306,24.18,46,0,0.31,MZ,1746631131
134,nagqu,31.5,92.0,4.34,12,76,5.23,CN,1746631132
135,qaqortoq,60.7167,-46.0333,0.35,69,96,4.98,GL,1746631133
136,mariental,-24.6333,17.9667,27.68,16,0,3.26,NA,1746631135
137,jianshui,23.6363,102.8264,24.67,47,78,3.71,CN,1746631136
138,utrik,11.2278,169.8474,26.92,84,100,8.73,MH,1746631137
139,boda,4.3189,17.4695,33.15,39,42,2.31,CF,1746631138
140,vorgashor,67.5833,63.95,-0.15,98,100,6.35,RU,1746631139
141,kruisfontein,-34.0033,24.7314,16.87,79,100,3.76,ZA,1746631141
142,zykovo,55.9519,93.1461,10.36,65,88,2.82,RU,1746631142
143,dawson creek,55.7666,-120.2362,9.8,50,0,4.63,CA,1746631050
144,al qusiyah,27.4402,30.8184,35.39,11,38,5.63,EG,1746631144
145,port lincoln,-34.7333,135.8667,15.04,58,96,4.01,AU,1746631145
146,albertina,-22.2008,-46.6158,24.56,49,1,0.46,BR,1746631146
147,carinhanha,-14.3047,-43.765,31.94,34,0,2.7,BR,1746631147
148,sovetskaya gavan',48.9723,140.2878,4.53,83,99,0.01,RU,1746631148
149,zhangjiajie,29.1294,110.4783,19.97,88,90,1.01,CN,1746630927
150,college,64.8569,-147.8028,2.99,75,75,2.06,US,1746631150
151,lompoc,34.6391,-120.4579,12.4,77,100,1.54,US,1746631151
152,san luis de la loma,17.2706,-100.8939,29.02,70,61,1.56,MX,1746631152
153,lamar,33.6668,-95.5836,18.27,89,100,2.06,US,1746631153
154,pacasmayo,-7.4006,-79.5714,21.59,74,79,4.1,PE,1746631155
155,huarmey,-10.0681,-78.1522,21.15,77,62,3.95,PE,1746631156
156,kerikeri,-35.2268,173.9474,16.62,93,75,1.49,NZ,1746631157
157,dzhalagash,45.0833,64.6667,29.89,11,100,3.45,KZ,1746631158
158,kanazawa,36.5944,136.6256,9.0,71,0,2.15,JP,1746631159
159,coquimbo,-29.9533,-71.3436,17.77,65,0,5.66,CL,1746631160
160,maceio,-9.6658,-35.7353,31.69,45,40,4.12,BR,1746631161
161,mbaiki,3.8678,17.9892,32.8,40,78,1.11,CF,1746631162
162,sarakhs,36.5449,61.1577,24.07,44,0,12.05,IR,1746631163
163,zyryanovsk,49.7386,84.2719,13.02,41,11,1.04,KZ,1746631164
164,san patricio,28.017,-97.5169,22.97,87,5,4.86,US,1746631165
165,jepelacio,-6.1167,-76.95,25.53,62,3,0.89,PE,1746631166
166,aasiaat,68.7098,-52.8699,-3.38,86,100,7.01,GL,1746631168
167,birzebbuga,35.8258,14.5269,24.38,53,0,2.57,MT,1746631169
168,mejit,10.2753,170.8646,26.78,84,90,9.75,MH,1746631170
169,lagoa,39.05,-27.9833,13.2,56,99,3.58,PT,1746631172
170,kodinsk,58.6881,99.1844,7.91,79,73,1.49,RU,1746631173
171,rizokarpaso,35.6,34.375,23.69,63,8,4.68,CY,1746630962
172,boa vista,2.8197,-60.6733,25.99,89,75,2.57,BR,1746630913
173,quellon,-43.1167,-73.6167,9.79,94,100,5.47,CL,1746631176
174,flat river,37.8501,-90.5168,18.36,68,100,3.09,US,1746631177
175,kapa'a,22.0752,-159.319,23.18,94,100,9.26,US,1746631178
176,sofifi,0.7349,127.576,26.97,82,100,1.23,ID,1746631179
177,choyr,46.3611,108.3611,7.84,54,100,7.75,MN,1746631180
178,portland,45.5234,-122.6762,14.04,69,75,0.89,US,1746631100
179,fort st. john,56.2499,-120.8529,7.92,75,100,4.04,CA,1746630897
180,torbat-e heydariyeh,35.274,59.2195,24.72,11,0,7.09,IR,1746631183
181,iskateley,67.6803,53.1512,0.7,100,100,3.19,RU,1746631184
182,rechka-vydrino,51.485,104.8461,5.55,61,57,1.28,RU,1746631185
183,port alfred,-33.5906,26.891,17.88,91,76,0.45,ZA,1746631186
184,christchurch,-43.5333,172.6333,10.74,80,5,1.54,NZ,1746631034
185,urengoy,65.9667,78.3667,1.09,93,100,7.34,RU,1746631189
186,rabaul,-4.1967,152.1721,26.59,77,100,1.05,PG,1746631190
187,kodiak,57.79,-152.4072,3.73,93,100,3.09,US,1746631192
188,hassi messaoud,31.6804,6.0729,36.92,15,40,2.57,DZ,1746631193
189,hilo,19.7297,-155.09,20.06,87,40,2.57,US,1746631195
190,coyhaique,-45.5752,-72.0662,4.11,100,100,2.02,CL,1746631196
191,hasaki,35.7333,140.8333,16.42,69,100,5.2,JP,1746631197
192,abbeville,50.1,1.8333,14.16,59,47,6.75,FR,1746631198
193,praia da vitoria,38.7333,-27.0667,13.14,88,40,3.69,PT,1746631199
194,polyarnyy,69.1989,33.4478,1.28,100,99,6.88,RU,1746631200
195,waspan,14.7419,-83.9717,30.45,55,100,1.58,NI,1746631201
196,west island,-12.1568,96.8225,27.99,89,88,3.6,CC,1746631202
197,remire-montjoly,4.9167,-52.2667,31.02,66,75,2.06,GF,1746631203
198,codrington,-38.2667,141.9667,11.58,59,100,8.21,AU,1746631204
199,bubaque,11.2833,-15.8333,25.59,77,7,3.45,GW,1746631205
200,sorong,-0.8833,131.25,27.34,77,96,0.76,ID,1746631206
201,dryden,49.7833,-92.7503,4.16,81,100,3.09,CA,1746631165
202,eldorado,-23.7869,-54.2836,26.23,48,6,4.58,BR,1746631208
203,bikenibeu village,1.3673,173.1241,27.98,89,40,4.63,KI,1746631209
204,superior,46.7208,-92.1041,10.54,66,20,9.26,US,1746630990
205,naze,28.3667,129.4833,15.51,75,54,1.23,JP,1746631211
206,aykhal,66.0,111.5,-5.41,90,99,2.65,RU,1746631212
207,leava,-14.3,-178.1667,28.19,77,100,12.04,WF,1746631213
208,kutum,14.2,24.6667,31.77,6,5,6.63,SD,1746631215
209,tansen,27.8673,83.5467,20.96,47,100,2.14,NP,1746631216
210,axim,4.8699,-2.2405,29.57,69,100,3.36,GH,1746631217
211,jamestown,42.097,-79.2353,15.87,80,100,4.63,US,1746631001
212,dakhla,23.6848,-15.958,22.01,68,20,6.17,EH,1746631219
213,oyama,36.3,139.8,16.02,46,100,0.79,JP,1746631220
214,malabar,-33.9667,151.25,19.84,68,62,7.2,AU,1746631221
215,hermanus,-34.4187,19.2345,19.33,77,1,2.74,ZA,1746631222
216,al majaridah,19.1236,41.9111,32.84,45,17,3.33,SA,1746631223
217,fenoarivo atsinanana,-17.3667,49.4167,22.37,95,100,4.34,MG,1746631224
218,susanville,40.4163,-120.653,10.46,55,0,0.0,US,1746631128
219,nelson bay,-32.7167,152.15,18.33,80,100,3.58,AU,1746631226
220,umluj,25.0213,37.2685,27.21,59,0,3.74,SA,1746631227
221,rabo de peixe,37.8,-25.5833,17.77,99,75,5.66,PT,1746631228
222,tateyama,34.9833,139.8667,15.48,80,32,3.96,JP,1746630974
223,illizi,26.4833,8.4667,39.21,9,35,7.09,DZ,1746631230
224,safford,32.834,-109.7076,18.51,49,0,2.57,US,1746631231
225,al bardiyah,31.7561,25.0865,28.2,34,0,6.34,LY,1746631233
226,acajutla,13.5928,-89.8275,31.8,73,12,1.47,SV,1746631234
227,padre bernardo,-15.35,-48.5,29.8,46,47,2.38,BR,1746631235
228,xiaoweizhai,26.1903,107.5125,18.66,98,100,1.48,CN,1746631236
229,naberera,-4.2,36.9333,19.11,78,95,2.59,TZ,1746631237
230,port blair,11.6667,92.75,26.02,94,75,1.03,IN,1746631238
231,sisimiut,66.9395,-53.6735,-3.73,74,100,0.5,GL,1746631239
232,susuman,62.7833,148.1667,-2.46,91,100,1.98,RU,1746631240
233,essaouira,31.5125,-9.77,22.72,68,40,3.6,MA,1746631241
234,brisas de zicatela,15.8369,-97.0419,31.29,62,20,1.54,MX,1746631242
235,alesund,62.4723,6.1549,11.85,71,75,1.54,NO,1746631079
236,awjilah,29.1081,21.2869,37.53,7,3,4.98,LY,1746631244
237,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,56,0,5.0,RU,1746631245
238,nova vicosa,-17.8919,-39.3719,25.91,77,87,4.19,BR,1746631246
239,senj,44.9894,14.9058,16.56,63,39,2.23,HR,1746631247
240,avarua,-21.2078,-159.775,23.03,60,40,4.12,CK,1746631248
241,tommot,58.9564,126.2925,2.17,91,100,1.73,RU,1746631249
242,byron bay,-28.65,153.6167,15.87,92,73,2.95,AU,1746631250
243,cockburn town,21.4612,-71.1419,25.27,75,13,3.38,TC,1746631251
244,itoman,26.1247,127.6694,20.01,77,97,1.03,JP,1746631252
245,olyokminsk,60.3736,120.4264,0.56,92,21,1.93,RU,1746631253
246,new norfolk,-42.7826,147.0587,5.51,84,57,3.64,AU,1746631255
247,keflavik,64.0049,-22.5624,9.24,76,75,6.69,IS,1746631256
248,vanimo,-2.6741,141.3028,25.92,90,100,2.38,PG,1746631257
249,puerto baquerizo moreno,-0.9,-89.6,26.55,78,75,5.66,EC,1746631258
250,sabak bernam,3.7698,100.9879,28.54,88,97,1.11,MY,1746631259
251,saint-pierre,-21.3393,55.4781,24.82,88,75,9.26,RE,1746631260
252,tolanaro,-25.0319,46.9987,21.95,77,7,5.55,MG,1746631261
253,playa del ingles,27.7567,-15.5787,23.86,70,68,4.47,ES,1746631088
254,flying fish cove,-10.4217,105.6791,26.82,83,100,4.12,CX,1746631263
255,al bawiti,28.3492,28.8659,33.91,13,5,6.23,EG,1746631264
256,holualoa,19.6228,-155.9522,20.46,91,0,2.06,US,1746631094
257,larvik,59.0533,10.0352,12.25,40,0,4.63,NO,1746631266
258,chonchi,-42.6128,-73.8092,10.07,96,100,2.66,CL,1746631267
259,santa elena de uairen,4.6167,-61.1333,24.56,69,27,2.82,VE,1746631268
260,pandan,14.0453,124.1694,26.71,86,100,2.43,PH,1746631269
261,alice springs,-23.7,133.8833,13.75,58,88,3.09,AU,1746631270
262,segezha,63.7415,34.3222,4.12,55,93,2.85,RU,1746631271
263,papao,-17.75,-149.55,23.82,77,57,4.67,PF,1746631273
264,wick,58.4333,-3.0833,11.03,71,20,2.57,GB,1746631275
265,peace river,56.2501,-117.286,12.17,81,100,4.12,CA,1746631276
266,howrah,22.5892,88.3103,32.83,66,40,4.63,IN,1746631277
267,upata,8.0086,-62.3989,31.84,45,45,2.91,VE,1746631278
268,alotau,-10.3069,150.4462,23.91,94,74,0.95,PG,1746631279
269,la sarre,48.8002,-79.1996,2.13,77,100,6.71,CA,1746631280
270,pariaman,-0.619,100.12,27.18,83,68,1.16,ID,1746631281
271,marsa alam,25.0757,34.8918,29.38,35,0,6.2,EG,1746631282
272,sona,45.4388,10.8255,17.14,71,75,2.57,IT,1746631283
273,mweka,-4.85,21.5667,25.62,73,99,0.93,CD,1746631284
274,vernon,50.2581,-119.2691,13.85,45,100,4.63,CA,1746631256
275,rawson,-43.3002,-65.1023,13.16,41,0,7.72,AR,1746631288
276,saku,36.2167,138.4833,7.09,69,81,1.98,JP,1746631289
277,berezovyy,51.6667,135.7,5.56,79,93,1.6,RU,1746631290
278,hanceville,34.0607,-86.7675,17.95,92,100,2.22,US,1746631291
279,aitape,-3.1374,142.3475,25.49,90,100,1.24,PG,1746631292
280,sandnessjoen,66.0217,12.6316,6.06,87,75,6.17,NO,1746631293
281,at taj,24.2049,23.2857,33.74,6,0,2.38,LY,1746631294
282,constantia,44.1833,28.65,23.38,55,82,1.92,RO,1746631295
283,tual,-5.6667,132.75,28.09,77,90,3.7,ID,1746631266
284,macapa,0.0389,-51.0664,30.99,66,40,5.14,BR,1746631297
285,stanley,54.868,-1.6985,11.96,57,40,5.14,GB,1746631212
286,edgemere,39.2421,-76.448,21.99,59,75,3.09,US,1746631300
287,egilsstadir,65.2653,-14.3948,17.95,45,20,11.32,IS,1746631301
288,altamira,-3.2033,-52.2064,28.05,89,75,2.57,BR,1746631096
289,dudinka,69.4058,86.1778,-0.37,96,100,4.52,RU,1746631303
290,chernihiv,51.0,32.0,14.38,51,100,2.28,UA,1746631304
291,aizawl,23.7333,92.7167,21.81,77,15,0.98,IN,1746631305
292,yarmouth,41.7057,-70.2286,17.21,92,100,4.63,US,1746631306
293,great bend,38.3645,-98.7648,13.07,92,100,5.66,US,1746631092
294,minas de marcona,-15.2119,-75.1103,18.51,60,20,4.78,PE,1746631308
295,richards bay,-28.783,32.0377,23.16,63,0,3.81,ZA,1746631309
296,qo'rg'ontepa,40.734,72.7628,23.23,56,20,2.0,UZ,1746631310
297,kotlas,61.2611,46.6556,8.73,49,100,2.3,RU,1746631259
298,st. john's,47.5649,-52.7093,18.49,24,40,12.35,CA,1746631312
299,celestun,20.8667,-90.4,30.62,54,3,5.78,MX,1746631313
300,la'ie,21.6477,-157.9253,23.66,80,27,7.83,US,1746631314
301,edd,13.9297,41.6925,28.57,72,56,4.53,ER,1746631315
302,ocher,57.8904,54.7202,9.23,57,73,1.46,RU,1746631316
303,saguenay,48.4168,-71.0657,13.46,100,100,1.54,CA,1746631317
304,vilyuchinsk,52.9306,158.4028,3.15,83,5,4.09,RU,1746631318
305,eirunepe,-6.6603,-69.8736,29.05,65,84,1.12,BR,1746631320
306,kayangel,8.0823,134.7173,28.77,72,100,5.95,PW,1746631321
307,guajara mirim,-10.7828,-65.3394,28.09,65,20,2.57,BR,1746631262
308,palmerston north,-40.35,175.6167,10.55,80,20,0.45,NZ,1746631324
309,atherton,53.5237,-2.4935,17.25,58,100,1.34,GB,1746631325
310,mekhe,15.1097,-16.6218,32.06,32,75,9.2,SN,1746631326
311,ma'rib,15.4591,45.3253,33.71,19,76,5.31,YE,1746631327
312,nova sintra,14.8667,-24.7167,22.42,89,100,10.52,CV,1746631328
313,tambacounda,13.7539,-13.7586,39.03,32,48,3.09,SN,1746631329
314,arno,60.1167,18.6333,9.21,42,63,2.56,SE,1746631330
315,tazovsky,67.4667,78.7,0.93,99,100,5.8,RU,1746631331
316,al burayqah,30.4062,19.5739,34.37,19,76,6.34,LY,1746631332
317,mount isa,-20.7333,139.5,22.87,56,100,3.6,AU,1746631333
318,mahina,-17.5065,-149.489,23.87,83,0,1.03,PF,1746631334
319,margate,51.3813,1.3862,12.61,76,99,1.34,GB,1746631336
320,anatuya,-28.4606,-62.8347,26.07,73,100,2.9,AR,1746631337
321,manokwari,-0.8667,134.0833,26.31,76,98,1.09,ID,1746631338
322,sijunjung,-0.6876,100.9537,24.31,94,55,0.95,ID,1746631339
323,fortuna,40.5982,-124.1573,13.29,79,86,1.79,US,1746631341
324,kailua-kona,19.6406,-155.9956,22.53,82,0,2.06,US,1746631342
325,mount pearl,47.5166,-52.7813,18.03,27,40,12.35,CA,1746631343
326,alofi,-19.0595,-169.9187,24.94,61,100,9.77,NU,1746631344
327,aljezur,37.3191,-8.8033,16.58,61,33,5.0,PT,1746631345
328,vilyuysk,63.7553,121.6247,0.57,93,100,3.87,RU,1746631346
